# 常用英语单词 10000 个(Google 万亿语料词频排序;音标/释义来自 ECDICT)
# 格式: 序号	单词	音标	中文释义
8518	worldcat		[未收录]
8519	titanium	tai'teiniәm	n. 钛；[化] 钛Ti
8520	irs		abbr. 美国国税局（Internal Revenue Service）
8521	fairy	'fєәri	n. 仙女, 精灵；a. 仙女的
8522	builds	bildz	v. 修建( build的第三人称单数 ); 建造; 开发; 创建
8523	contacted	ˈkɔntæktid	v. 联络（通过电话或信件）( contact的过去式和过去分词 ); 使接触; 与（某人）接触（或交往）, 与…联系; [美国英语]与…通讯（或通话）
8524	shaft	ʃæft	n. 轴, 箭杆, 矛, 矿井；vt. 装杆于, 利用
8525	lean	li:n	n. 瘦肉, 倾斜, 倾斜度；a. 瘦的, 贫乏的, 歉收的；vi. 倚靠, 倾斜, 依赖；vt. 使倾斜
8526	bye	bai	interj. 再会, 回头见
8527	cdt		abbr. （美国）中央时区（Central Daylight Time）
8528	recorders	riˈkɔ:dəz	n. 录音机( recorder的复数形式 ); 记录员; （英国）刑事法院的临时法官; 竖笛
8529	occasional	ә'keiʒәnl	a. 偶然的, 临时的；[法] 偶然的, 特殊场合的
8530	leslie	'lezli, 'lisli	n. 莱斯利（男子名）
8531	casio		n. 卡西欧（日本电子品牌）
8532	deutsche		n. 德意志联邦共和国马克
8533	ana	'ɑ:nә	n. 言论集, 语录, 轶事
8534	postings	'pəʊstɪŋz	n. 任命, 委派( posting的复数形式 )
8535	innovations	ɪnə'veɪʃnz	n. 改革( innovation的复数形式 ); 新观念; 新事物; 新设施
8536	kitty	'kiti	n. 小猫, 全部赌注
8537	postcards	ˈpəustkɑ:dz	n. 明信片( postcard的复数形式 )
8538	dude	dju:d	n.<美国、加拿大>纨绔子弟，花花公子； <俚>男人，家伙；vt.<俚>打扮得讲究或花哨
8539	drain	drein	n. 排水沟, 消耗, 排水；vt. 排出, 喝光, 耗尽；vi. 排水, 流干
8540	monte	'mɔnti	n. a gambling card game of Spanish origin; 3 or 4 cards are dealt face up and players bet that one of them will be matched before the others as the cards are dealt from the pack one at a time
8541	fires		n. 火灾, 点火；火力
8542	algeria	æl'dʒiәriә	n. 阿尔及利亚
8543	blessed	'blesid	a. 神圣的, 受祝福的；bless的过去式和过去分词
8544	luis		n. 路易斯（人名）
8545	reviewing	riˈvju:ɪŋ	v. 检验( review的现在分词 ); 复查; 写…的评论文章; 复习功课, 温习功课
8546	cardiff	'kɑ:dif	n. 加的夫（英国港市）
8547	cornwall	'kɔ:nwɔ:l	n. 康沃尔（英格兰西南部一郡, 加拿大城市名）
8548	favors		n. 好意；支持；帮忙（favor的复数）
8549	potato	pә'teitәu	n. 马铃薯
8550	panic	'pænik	n. 恐慌, 惊慌；a. 惊慌的, 没有理由的, 恐慌的；vt. 使惊慌, 使狂热；vi. 惊慌
8551	explicitly		adv. 明确地；明白地
8552	sticks		n. 树枝；棍；麻骨（stick复数形式）
8553	leone	li:'әun	[经] 里昂
8554	transsexual	træn'sekjuәl	n. 换性者
8555	ez		abbr. 电零点（electrical zero）；东区（eastern zone）
8556	citizenship	'sitizәnʃip	n. 国籍, 市民权, 市民的身份；[法] 公民权, 公民资格, 公民身分
8557	excuse	ik'skju:z	vt. 原谅, 申辩, 做为...的托辞；n. 致歉, 理由, 饶恕, 借口
8558	reforms	riˈfɔ:mz	n. 改革, 改良, 改造( reform的名词复数 )；v. 改善( reform的第三人称单数 )
8559	basement	'beismәnt	n. 地下室, 墙脚；[化] 地下室
8560	onion	'ʌnjәn	n. 洋葱；vt. 因洋葱使掉泪
8561	strand	strænd	n. (绳索的)股, 绳, 串, 海滨, 河岸；vi. 搁浅；vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓
8562	pf		[电] Picofarad的简写
8563	sandwich	'sændwitʃ	n. 三明治, 夹心面包, 夹层板；vt. 插入, 夹入, 把...制成三明治
8564	uw	θ,u	abbr. 华盛顿大学（University of Washington）；水下的（Underwater）；超声波（Ultrasonic Wave）
8565	lawsuit	'lɒ:sju:t	n. 诉讼；[法] 诉讼, 诉讼案件
8566	alto	'æltәu	n. 女低音, 男声最高音, 女低音歌手
8567	informative	in'fɒ:mәtiv	a. 提供消息的, 见闻广博的
8568	girlfriend		n. 女朋友
8569	bloomberg		[人名] 布隆伯格
8570	cheque	tʃek	n. 支票
8571	hierarchy	'haiәrɑ:ki	n. 等级制度, 僧侣统治, 等级体系； 分层结构; 新闻组, 新闻组分层
8572	influenced	ˈinfluənst	a. 影响性的；v. 影响( influence的过去式和过去分词 ); 感染; 支配; 对…起作用
8573	banners		n. 旗帜广告；横幅；广告横幅（banner复数）
8574	reject	ri'dʒekt	n. 被拒之人, 被弃之物, 不合格品, 次品；vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出
8575	eau	әu	[医] 水
8576	abandoned	ә'bændәnd	a. 被抛弃的, 无约束的, 恣意放荡的
8577	bd		n a bachelor's degree in religion
8578	circles		n. 园；圆圈；循环（circle的复数）
8579	italic	i'tælik	a. 斜体的；n. 斜体字, 斜体
8580	beats	bi:ts	n. 音乐节拍；差拍振动；心脏跳动（beat的复数）
8581	merry	'meri	a. 快乐的, 愉快的, 嬉戏作乐的
8582	mil	mil	n. 千分之一英寸； 密耳; 军队域名
8583	scuba	'skju:bә	n. 自携式水中呼吸器
8584	gore	gɒ:	n. 流出的血, 淤血, 三角形布；vt. 把...剪成楔形三角布, 缝以补裆, 刺伤, 抵
8585	complement	'kɒmplimәnt	n. 补足物, 补语, 补数；vt. 补充, 补足； 反相器; 补数
8586	cult	kʌlt	n. 膜拜, 礼拜式, 祭仪, 一群信徒；[医] 迷信, 巫术
8587	dash	dæʃ	n. 冲撞, 破折号, 短跑；vi. 猛冲, 冲撞；vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧
8588	passive	'pæsiv	a. 消极的, 被动的, 冷漠的, 顺从的, 无源的；[医] 被动的
8589	mauritius	mɒ:'riʃiәs	n. 毛里求斯
8590	valued	'vælju:d	a. 经估价的, 贵重的, 受尊重的；[法] 受尊重的, 受重视的, 贵重的
8591	cage	keidʒ	n. 笼, 牢房, 战俘营；vt. 关进笼内
8592	checklist		n. 清单, (美)选举人名单, 名册, 目录册
8593	bangbus		[未收录]
8594	requesting		n. 要求；请求
8595	courage	'kʌridʒ	n. 勇气, 胆量
8596	verde	v\\\\:d	n. 佛得角（塞内加尔西部）
8597	lauderdale		劳德戴尔
8598	scenarios		n. 情节；脚本；情景介绍（scenario的复数）
8599	gazette	gә'zet	n. 报, 公报, 报纸；vt. 在公报上宣布, 刊载于公报
8600	hitachi	hi'tɑ:tʃi	
8601	divx		n. 一种数字多媒体压缩技术
8602	extraction	ik'strækʃәn	n. 抽出, 取出, 拔出术, 抽出物；[化] 萃取; 提取
8603	batman	'bætmәn	n. 勤务兵
8604	elevation	.eli'veiʃәn	n. 海拔, 提高, 仰角
8605	hearings	ˈhiəriŋz	n. 听力( hearing的复数形式 ); 听觉; 听力所及的距离; 听证会
8606	coleman	'kәulmәn	n. 科尔曼（姓氏）
8607	hugh	hju:	n. 休（男子名）
8608	lap	læp	n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳；vi. 重叠, 围住, 轻拍, 舔；vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
8609	utilization	.ju:tilai'zeiʃәn	n. 利用；[医] 利用
8610	beverages	be'vərɪdʒɪz	n. 饮料( beverage的复数形式 )
8611	calibration	.kæli'breiʃәn	n. 口径测定, 刻度, 校准；[化] 校准
8612	jake	dʒeik	a. 满意的, 上等的；n. 乡下佬, 家伙
8613	eval		n. 重新运算求出参数的内容
8614	efficiently	i'fiʃәntli	adv. 生效, 能胜任, 有能力, 效率高, 有效
8615	anaheim	'ænәhaim	n. 阿纳海姆（美国加利福尼亚州西南部城市）
8616	ping	piŋ	n. 砰(子弹击中时的声音), 报时的最后一声, 声脉冲；vi. 砰(铛)地发声
8617	textbook	'tekstbuk	n. 教科书
8618	dried	draid	a. 弄干了的
8619	entertaining	.entә'teiniŋ	a. 使人愉快的, 有趣的
8620	prerequisite	pri:'rekwizit	a. 先决条件的, 必要的；n. 先决条件, 必备条件
8621	luther	'lu:θә	n. 卢瑟（男子名）
8622	frontier	'frʌntjә	n. 边界, 边境；[法] 国境, 边境, 边界
8623	settle	'setl	n. 有背长椅；vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算；vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家
8624	stopping	'stɔpiŋ	n. 停止, 制动, 中止, 制止, 堵塞, 阻塞, 填充物, 填塞料, 风幛, 隔墙, 风墙
8625	refugees	'refjʊdʒi:z	n. 避难者, 难民( refugee的复数形式 )
8626	knights		n. 骑兵, 骑士（knight的复数）
8627	hypothesis	hai'pɒθәsis	n. 假设；[化] 假设
8628	palmer	'pɑ:mә	n. 朝圣者；变戏法的人；毛虫（尤指北美的小舌麦蛾幼虫）
8629	medicines	'medsnz	n. 药( medicine的复数形式 ); 内服药; 医术; 医学
8630	flux	flʌks	n. 流出, 涨潮, 变迁；vi. 熔化, 流出；vt. 使熔融
8631	derby	'dɑ:bi	n. 德比(英国中部都市), 德比赛马, 大赛马
8632	sao		abbr. 区段刻录（Session at once）；安全咨询意见
8633	peaceful	'pi:sful	a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的；[法] 和平的, 爱好和平的, 和平时期的
8634	altered	ˈɔ:ltəd	a. [医]改变的；v. 改变, 更改( alter的过去式和过去分词 )
8635	pontiac	'panti,æk	n. 旁蒂克（汽车名）
8636	regression	ri'greʃәn	n. 退步, 回归
8637	doctrine	'dɒktrin	n. 教条, 学说；[医] 学说
8638	scenic	'si:nik	a. 风景好的, 戏剧性的, 舞台的, 布景的；n. 风光影片, 风景照片
8639	trainers		n. 训练员；运动鞋；练习器（trainer的复数）
8640	muze		[未收录]
8641	enhancements	ɪn'hɑ:nsmənts	n. 增强( enhancement的复数形式 ); 增加; 提高; 用以增强、提高或美化之物
8642	renewable	ri'nju(:)әbl	a. 可更新的, 可恢复的, 可继续的, 可换新的, 可重复的, 可重说的
8643	intersection	.intә'sekʃәn	n. 交集, 十字路口, 交叉点； 与
8644	passwords		n. 口令；密码（password的复数形式）
8645	sewing	'sәuiŋ	n. 缝制品, 缝纫
8646	consistency	kәn'sistәnsi	n. 坚硬性, 黏稠度, 一致性；[化] 稠度; 一致性
8647	collectors	kə'lektəz	n. 收集者, 收取者( collector的复数形式 )
8648	conclude	kәn'klu:d	vt. 结束, 作结论, 推断；vi. 结束, 推断
8649	recognised		v. 承认；认出；辨别（recognise的过去分词）；a. 认可的
8650	munich	'mju:nik	n. 慕尼黑
8651	oman	әu'mɑ:n	n. 阿曼
8652	celebs		n. [俚]名人；名流（celeb的复数）
8653	gmc		通用汽车公司
8654	propose	prә'pәuz	vt. 计划, 打算, 建议, 提议, 求(婚)；vi. 打算, 求婚
8655	hh		abbr. 倍硬（指铅笔心硬度 double- hard）；半硬的（Half Hard）；重氢, 氚（Heavy Hydrogen）；高功率不定向无线电归航信标（High-powered, non-directional radio homing beacon）；殿下（His Highness）；陛下（His Holiness）；阁下, 先生（His Honour）
8656	azerbaijan	,ɑ:zәbai'dʒɑ:n	n. 阿塞拜疆
8657	lighter	'laitә	n. 点火者, 点灯工人, 打火机, 驳船；vt. 以驳船搬运
8658	rage	reidʒ	n. 愤怒, 情绪激动, 狂暴；vi. 大怒, 狂吹, 流行
8659	adsl		abbr. 非对称数字用户环线（Asymmetrical Digital Subscriber Loop）
8660	uh	ʌn. әn	int. 嗯啊
8661	prix	pri:	n. 奖金, 价格
8662	astrology	ә'strɒlәdʒi	n. 占星术, 占星学
8663	advisors		n. 顾问, 指导教授, 劝告者（advisor的复数形式）
8664	pavilion	pә'viljәn	n. 楼阁, 亭子, 大帐篷, 观众席；vt. 置...于亭中, 搭帐篷, 笼罩
8665	tactics	'tæktiks	n. 用兵学, 战术, 兵法；[经] 战术, 策略
8666	trusts	trʌsts	n. 信任( trust的名词复数 ); 信托; 照管; 受托基金机构；v. 相信, 信任( trust的第三人称单数 ); 认为可靠; 想; 希望
8667	occurring	ә'kә:riŋ	n. 事件；事故；事变
8668	supplemental	.sʌpli'mentl	a. 补足的, 追加的；[医] 补充的, 补足的
8669	travelling	'trævliŋ	a. 旅行的, 旅行用的, 移动的
8670	talented	'tælәntid	a. 天资高的, 有才能的
8671	annie	'æni	n. 安妮（女子名）
8672	pillow	'pilәu	n. 枕头, 靠垫, 枕状岩；vt. 作...的枕头, 垫, 枕于；vi. 靠在枕上
8673	induction	in'dʌkʃәn	n. 归纳法, 感应, 就职, 入门
8674	derek	'derik	n. 德里克（男名）
8675	precisely	pri'saisli	adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错
8676	shorter		a. 较短的；更短的；更矮的（short的比较级）
8677	harley	'hɑ:li	n. 哈利（男子名）
8678	spreading	'sprediŋ	[医] 摊开, 涂布；[经] 套期图利
8679	provinces		n. 外省, 边远地区, 乡间
8680	relying	riˈlaiŋ	v. 信任( rely的现在分词 ); 信赖; 依赖; 依靠
8681	finals		n. 决赛, 总决赛（final的复数）
8682	paraguay	'pærәgwai	n. 巴拉圭
8683	steal	sti:l	vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
8684	parcel	'pɑ:sl	n. 包裹, 部分, 片；vt. 分配, 打包；a. 部分的；adv. 局部地
8685	refined	ri'faind	a. 精炼的, 优雅的, 精细的；[医] 精制过的, 精练过的
8686	fd		[化] 场解吸
8687	bo	bәu	n. 体臭, 汗臭, 狐臭, 暂时无法满足的订货, 戏院票房, 戏院售票处, 分支机构
8688	fifteen	'fif'ti:n	num. 十五, 十五个
8689	widespread	'waidspred	a. 充分伸展的, 广布的, 普及的, 流传广的
8690	incidence	'insidәns	n. 发生, 发生率, 影响, 负担者, 入射, 倾角；[医] 入射, 发生率, 发生数
8691	fears		n. 恐惧；担心
8692	predict	pri'dikt	v. 预知, 预言, 预报
8693	boutique	bu:'ti:k	n. 专卖流行衣服的小商店
8694	acrylic	ә'krilik	a. 丙烯酸的；[医] 丙烯酸的
8695	rolled	rәuld	a. 辗压的, 辊轧的, 轧制的
8696	tuner	'tju:nә	n. 调音师, 调音的人, 调节器；[电] 调谐器
8697	avon	'eivɔn	n. 埃文河（英国西南部一河）；雅芳（化妆品品牌）
8698	incidents	'ɪnsɪdənts	n. 发生的事( incident的复数形式 ); 小插曲; 敌对行动; 骚乱
8699	peterson		n. 彼得森（男子名）
8700	rays		n. 射线；[俚]日光浴；光线（ray的复数）
8701	asn		[化] 天冬酰胺; (不宜称)门冬酰胺
8702	shannon		n. United States electrical engineer who pioneered mathematical communication theory (1916-2001)
8703	toddler	'tɔdlә	n. 蹒跚行走的人, 学步的小孩, 学步的幼儿, (非正式)信步走的人
8704	enhancing	inˈhɑ:nsɪŋ	v. 提高( enhance的现在分词 ); 增进; 用计算机增强（照片等）; 提高…的价值（或价格）; 探溯语源, 指示语源( etymologize的过去式和过去分词 ); 增进; 用计算机增强（照片等）; 提高…的价值（或价格）
8705	flavor	'fleivә	n. 滋味, 调味品；vt. 加味于
8706	alike	ә'laik	a. 相似的, 同样的；adv. 一样, 以同样的方式
8707	walt	wɔ:lt	n. 沃尔特（人名）
8708	homeless	'hәumlis	a. 无家的, 无养主的
8709	horrible	'hɒrәbl	a. 可怕的, 遭透的, 极讨厌的
8710	hungry	'hʌŋgi	a. 饥饿的, 荒年的, 渴望的, 不毛的；[化] 欠鞣皮
8711	metallic	mi'tælik	a. 金属的, 含金属的, 产生金属的；[经] 金属的
8712	acne	'ækni	n. 痤疮, 粉刺；[医] 痤疮, 粉刺
8713	blocked	blɔkt	a. 堵塞的；被封锁的
8714	interference	.intә'fiәrәns	n. 冲突, 干涉
8715	warriors	'wɒrɪəz	n. 武士, 勇士, 战士( warrior的复数形式 )
8716	palestine	'pælәstain	n. 巴勒斯坦
8717	listprice		[未收录]
8718	libs		abbr. 激光诱导击穿光谱（Laser-induced Breakdown Spectroscopy）
8719	undo	.ʌn'du:	vt. 解开, 取消, 破坏, 毁灭, 扰乱；vi. 松开
8720	cadillac	'kædilæk	n. 卡迪拉克牌轿车
8721	atmospheric	ætmәs'ferik	a. 大气的；[医] 大气的; 大气压的
8722	malawi	mә'lɑ:wi	n. 马拉维
8723	wm		abbr. 水表（water flowmeter）；威廉（William）
8724	pk		[建] pK
8725	sagem		[未收录]
8726	knowledgestorm		[未收录]
8727	dana		n. 美国德纳（美国汽车公司）
8728	halo	'heilәu	n. 晕轮, 光圈, 晕状物, 荣光；vt. 使有晕轮, 围以光环；vi. 成晕轮
8729	ppm		[化] 百万分率
8730	curtis	'kә:tis	n. 柯蒂斯（男子名）
8731	parental	pә'rentәl	a. 父母亲的, 做双亲的, 作为渊源的；[医] 父母的, 双亲的
8732	referenced		a. 引用的, 参考的
8733	strikes	straiks	n. 袭击( strike的名词复数 ); 罢工[课, 市]; 突然发现；v. 打( strike的第三人称单数 ); 击; 敲响; 报时
8734	lesser	'lesә	a. 较少的, 较小的, 次要的
8735	publicity	pʌb'lisiti	n. 名声, 宣传, 公开场合；[经] 宣传, 广告
8736	marathon	'mærәθәn	n. 马拉松, 耐力的考验
8737	ant	ænt	n. 蚂蚁
8738	proposition	.prɒpә'ziʃәn	n. 建议, 命题, 主张；vt. 向...提议, 向...提出猥亵的要求
8739	gays	ɡeiz	n. 同性恋者（尤指男性）( gay的复数形式 )
8740	pressing	'presiŋ	a. 紧迫的, 迫切的, 热切的；n. 压, 压榨, 冲压件, 唱片
8741	gasoline	'gæsәli:n	n. 汽油；[化] 汽油
8742	apt	æpt	a. 有...倾向的, 易于的, 恰当的, 聪明的
8743	dressed	'dresid	a. 穿好衣服的；打扮好的；去内脏及分割加工好的（特指动物, 如鱼, 禽类等）
8744	scout	skaut	n. 守候, 侦察, 搜索, 侦察员, 侦察机；vi. 守候, 侦察, 巡视, 嘲笑；vt. 侦察, 跟踪, 发现, 监视, 嘲弄
8745	belfast	.belfɑ:st	n. 贝尔法斯特
8746	exec	i^'zek	n. 主任参谋, 副舰长
8747	dealt	delt	deal的过去式和过去分词
8748	niagara	nai'æ^әrә	n. 尼亚加拉, 尼亚加拉河, 急流, 泛滥的洪水
8749	inf		abbr. 中程核力量（Intermediate-range Nuclear Forces）
8750	eos	'i:ɒs	n. 黎明女神
8751	warcraft	'wɔ:krɑ:ft; -kræft	n. 军用飞机, 军舰, 战略和战术, 兵法
8752	charms		n. 吸引力；符咒；护身符（charm的复数形式）
8753	catalyst	'kætәlist	n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
8754	trader	'treidә	n. 商人, 商船；[经] 交易者, 商船
8755	bucks		n. 雄鹿队（篮球队名）；巴克斯（英国伦敦附近的一个郡名）
8756	allowance	ә'lauәns	n. 津贴, 零用钱, 限额, 折扣, 允许；vt. 定量供应
8757	vcr		[化] 长春新碱
8758	denial	di'naiәl	n. 否认；[法] 否定, 否认, 拒绝接受
8759	uri		abbr. 上呼吸道感染（Upper Respiratory Infection）；统一资源标识符（Uniform Resource Identifier）
8760	designation	.dezig'neiʃәn	n. 指示, 指定, 命名；[电] 指定
8761	thrown	θrәun	throw的过去分词
8762	prepaid	.pri:'peid	a. 先付的
8763	raises		v. 举起；建造；饲养（raise的三单形式）
8764	gem	dʒem	n. 珠宝, 宝石, 珍贵之物；vt. 饰以宝石
8765	duplicate	'dju:plikeit	n. 副本, 复本, 复制品；a. 复制的, 二重的；vt. 复制, 使加倍
8766	electro	i'lektrәu	n. 电镀物品
8767	criterion	krai'tiәriәn	n. 标准, 准则, 规范；[化] 判据
8768	badge	bædʒ	n. 徽章, 标记
8769	wrist	rist	n. 手腕, 腕关节；[医] 腕
8770	civilization	si.vilai'zeiʃәn	n. 文明, 教化；[法] 文明, 文化, 文明国家的总称
8771	analyzed		v. 检讨；分析（analyze的过去式和过去分词）
8772	vietnamese	'vjetnә'mi:z	n. 越南人；越南语
8773	heath	hi:θ	n. 石南荒原, 低矮灌木
8774	tremendous	tri'mendәs	a. 巨大的, 非常的, 可怕的
8775	ballot	'bælәt	n. 投票, 投票用纸, 抽签；vi. 投票, 抽签；vt. 投票选出, 拉选票
8776	lexus		n. 雷克萨斯（凌志）, 日本丰田汽车公司旗下豪华车品牌。
8777	varying		s. marked by diversity or difference
8778	remedies		n. 救济方法（remedy的复数）
8779	validity	vә'liditi	n. 有效性, 正确性
8780	trustee	.trʌs'ti:	n. 受托人, 理事
8781	maui	'maui	n. 毛伊岛
8782	handjobs		(handjob 的复数) n. ［俚］手淫
8783	weighted	'weitid	a. 偏向的, 偏重的, 有利的
8784	angola	æŋ'^әulә	[经] 安哥拉
8785	squirt	skwә:t	v. 喷出, 溅迸, 注射；n. 水枪, 注射器, 喷出
8786	performs		v. 执行；表演（perform的第三人称单数形式）
8787	plastics		n. 塑料制造学, 塑料学, 整形外科, 成形外科, 塑料, 塑料制品；[化] 塑料
8788	realm	relm	n. 王国, 领土, 领域
8789	corrected	kә'rektid	a. 修正的；校正的；折算的
8790	jenny	'dʒeni	n. 纺纱机, 移动吊车, 母驴
8791	helmet	'helmit	n. 钢盔, 盔, 防护帽；vt. 给...戴头盔
8792	salaries	ˈsæləriz	n. 薪水( salary的名词复数 )
8793	postcard	'pәustkɑ:d	n. 明信片
8794	elephant	'elifәnt	n. 象
8795	yemen	'jemәn	n. 也门
8796	encountered		v. 遇到；曾遭遇（encounter的过去式）
8797	tsunami	tsu'nɑ:mi	n. 海啸
8798	scholar	'skɒlә	n. 学者, 奖学金获得者, 有文化者, 学习者
8799	nickel	'nikl	n. 镍, 镍币, 五分镍币；vt. 镀镍于
8800	internationally	.intә'næʃәnәli	adv. 国际性地, 在国际间
8801	surrounded		a. 被…环绕着的
8802	psi	sai	n. 希腊字母的第23个字母；[机] 磅, 平方寸
8803	buses		n. 公共汽车（bus的复数形式）
8804	expedia		n. （美国）艾派迪（公司名, 主要经营商业服务和供应）
8805	geology	dʒi'ɒlәdʒi	n. 地质学, 地质情况
8806	pct		[经] %
8807	wb		世界银行
8808	creatures	'kri:tʃəz	n. 生物, 动物( creature的复数形式 ); 人
8809	coating	'kәutiŋ	n. 涂层, 上衣衣料
8810	commented		vt.& vi. 评论, 谈论（comment的过去式与过去分词形式）
8811	wallet	'wɒlit	n. 皮夹；[法] 皮包, 皮夹, 钱袋
8812	cleared		v. 使干净；清除（clear的过去分词）
8813	smilies		n. 表情符号
8814	vids		(vid 的复数) abbr. （拉）见, 参看（vide）
8815	accomplish	ә'kʌmpliʃ	vt. 完成, 达到, 实现, 使完美
8816	boating	'bәutiŋ	n. 划船
8817	drainage	'dreinidʒ	n. 排水；[医] 引流[法], 导液[法], 排水[设备]
8818	shakira		n. 夏奇拉（女歌手）
8819	corners		n. 角落；窘境（corner的复数形式）
8820	broader	brɔːdə	a. 广大的；一片的比较级
8821	vegetarian	.vedʒi'tєәriәn	n. 素食者, 食草动物；a. 素食的
8822	rouge	ru:ʒ	n. 口红, 胭脂；v. 擦口红
8823	yeast	ji:st	n. 酵母；[化] 酵母
8824	yale	jeil	n. 耶鲁
8825	newfoundland	,nju:fәnd'lænd	n. 纽芬兰
8826	sn		[医] 锡(50号元素)
8827	qld		abbr. 昆士兰州（Queensland, 澳大利亚的第二大州）
8828	pas	pɑ:	n. 优先权, 舞步, 舞；[化] 光声谱法; 光声光谱法
8829	clearing	'kliәriŋ	n. 清扫, 空地, 票据清算；[经] 票据交换, 结算, 结帐
8830	investigated	inˈvestiɡeitid	v. 调查( investigate的过去式和过去分词 ); 审查; 侦查; 研究
8831	dk		abbr. 丹麦（Denmark）
8832	ambassador	æm'bæsәdә	n. 大使；[法] 大使, 使节, 代理
8833	coated	'kәutid	a. 穿外套的, 上涂料的；[建] 包著的, 套著的, 涂过
8834	intend	in'tend	vt. 计划, 打算, 意思是；[法] 想要, 打算, 意旨
8835	stephanie		n. 斯蒂芬妮（女子名）
8836	contacting		[建] 接触
8837	vegetation	.vedʒi'teiʃәn	n. 植物；[医] 贽生物, 贽疣, 增殖体; 生长, 增殖
8838	doom	du:m	n. 厄运, 不幸, 法律, 宣告, 判决, 死亡；vt. 命中注定, 判决
8839	findarticles		[未收录]
8840	louise	lu(:)'i:z	n. 路易丝（女子名）
8841	kenny	'keni	n. 肯尼（姓氏）
8842	specially	'speʃәli	adv. 特别地, 专门地
8843	owen	'әuin	n. 欧文（男子名）
8844	routines		n. 日常生活；日常活动；常规, 惯例（routine的复数）
8845	hitting		n. 压缩；拉伸；击中
8846	yukon	'ju:kɔn	[医] 重电子
8847	beings	'bi:ɪŋz	n. 人; 生物（ being的复数形式 ）; 存在; 思想感情; 身心
8848	bite	bait	n. 咬, 一口；v. 咬, 刺痛, 穿透
8849	issn		
8850	aquatic	ә'kwætik	n. 水生动物, 水生植物；a. 水生的, 水中的, 水上的
8851	reliance	ri'laiәns	n. 信任, 信赖, 受信赖的人(或事)；[法] 信任, 信赖, 信心
8852	habits		n. 习性；习惯（habit的复数）
8853	striking	'straikiŋ	a. 醒目的, 惊人的, 打击的, 罢工的；[法] 罢工的, 罢市的, 罢课的
8854	myth	miθ	n. 神话, 虚构的事, 虚构的人
8855	infectious	in'fekʃәs	a. 有传染性的, 易传染的；[医] 传染性的
8856	podcasts		n. 播客（podcast的复数形式）
8857	singh	siŋ	n. 辛格（印度总理）；查理·拉杰（电影名）
8858	gig	gig	n. 旋转物, 轻便双轮马车, 赛艇, 鱼叉, 记过, 爵士乐演奏会；vi. 乘轻便双轮马车, 乘快艇, (用鱼叉)叉鱼；vt. (用鱼叉)叉, 刺激, 记过
8859	gilbert	'^ilbәt	n. 吉尔伯特（男子名）
8860	sas		n a specialist regiment of the British army that is trained in commando techniques of warfare and used in clandestine operations (especially against terrorist groups)；n Nazi militia created by Hitler …
8861	ferrari		
8862	continuity	.kɒnti'nju:iti	n. 连续性；[化] 连续性
8863	brook	bruk	n. 小溪；vt. 容忍
8864	fu		
8865	outputs		n. 输出；产出；产量（output复数）
8866	phenomenon	fi'nɒminәn	n. 现象, 迹象, 表现, 奇迹, 奇才；[化] 现象
8867	ensemble	ɒn'sɒŋblә	n. 全体, 合唱曲, (女人的)全套服装；[化] 总体; 整体; 系综
8868	insulin	'insjulin	n. 胰岛素；[化] 胰岛素
8869	assured	ә'ʃuәd	a. 确定的, 自信的；[经] 被保险人, 被保证者, 投保人
8870	biblical	'biblikәl	a. 圣经的
8871	weed	wi:d	n. 杂草, 野草；vi. 除草；vt. 除...的草, 剔除
8872	conscious	'kɒnʃәs	a. 有意识的, 知觉的, 觉察的；[医] 有意识的, 清醒的
8873	accent	'æksәnt	n. 重音, 口音, 特点, 注重点；vt. 重读, 加重音号于, 强调
8874	mysimon		[未收录]
8875	eleven	i'levn	num. 十一, 十一个
8876	wives	waivz	妻
8877	ambient	'æmbiәnt	a. 周围的；n. 周围环境
8878	utilize	'ju:tilaiz	vt. 利用
8879	mileage	'mailidʒ	n. 英里数；[经] 运费(按英里计算的)
8880	oecd		[经] 已开发国家组织
8881	prostate	'prɒsteit	a. 前列腺的；n. 前列腺
8882	adaptor	ә'dæptә(r)	n. 改编者, 插座, 转接器, 接合器, 拾音器
8883	auburn	'ɒ:bәn	n. 赤褐色；a. 赤褐色的
8884	unlock	.ʌn'lɒk	vt. 开...的锁, 开启, 表露, 放出；vi. 被开启, 揭开, 解放
8885	hyundai		n. 现代（公司名, 韩国最大汽车企业）
